t_ms,rate_0E3,rpm_x10
123,600,1302
223,600,1784
323,600,1907
423,600,1940
523,600,1965
623,600,1965
723,600,1956
823,600,1956
923,600,1973
1023,600,1973
1123,600,1965
1223,600,1965
1323,600,1973
1423,600,1965
1523,600,1973
1623,600,1965
1723,600,1973
1823,600,1981
1923,600,1965
2023,600,1965
2123,600,1965
2223,600,1973
2323,600,1965
2423,600,1965
2523,600,1965
2623,600,1965
2723,600,1973
2823,600,1965
2923,600,1965
3023,600,1973
3123,600,1965
3223,600,1956
3323,600,1956
3423,600,1965
3523,600,1965
3623,600,1965
3723,600,1956
3823,600,1965
3923,600,1973
4023,600,1965
4123,600,1956
4223,600,1965
4323,600,1965
4423,600,1965
4523,600,1965
4623,600,1956
4723,600,1956
4823,600,1965
4923,600,1956
5023,600,2349
