t_ms,rate_0E3,rpm_x10
142,300,696
242,300,859
342,300,900
442,300,917
542,300,917
642,300,925
742,300,925
842,300,917
942,300,925
1042,300,917
1142,300,917
1242,300,925
1342,300,925
1442,300,933
1542,300,925
1642,300,917
1742,300,925
1842,300,917
1942,300,925
2042,300,925
2142,300,925
2242,300,917
2342,300,925
2442,300,925
2542,300,925
2642,300,925
2742,300,917
2842,300,925
2942,300,925
3042,300,917
3142,300,925
3242,300,925
3342,300,917
3442,300,917
3542,300,925
3642,300,925
3742,300,917
3842,300,925
3942,300,925
4042,300,925
4142,300,933
4242,300,917
4342,300,933
4442,300,925
4542,300,925
4642,300,925
4742,300,925
4842,300,925
4942,300,933
5042,300,1105
