t_ms,rate_0E3,rpm_x10
123,600,1277
223,600,1744
323,600,1874
423,600,1907
523,600,1924
623,600,1924
723,600,1924
823,600,1924
923,600,1932
1023,600,1932
1123,600,1932
1223,600,1932
1323,600,1932
1423,600,1932
1523,600,1932
1623,600,1932
1723,600,1932
1823,600,1932
1923,600,1940
2023,600,1932
2123,600,1940
2223,600,1932
2323,600,1932
2423,600,1932
2523,600,1940
2623,600,1932
2723,600,1932
2823,600,1932
2923,600,1940
3023,600,1948
3123,600,1940
3223,600,1948
3323,600,1940
3423,600,1940
3523,600,1940
3623,600,1940
3723,600,1940
3823,600,1940
3923,600,1940
4023,600,1940
4123,600,1940
4223,600,1940
4323,600,1940
4423,600,1940
4523,600,1940
4623,600,1940
4723,600,1940
4823,600,1940
4923,600,1940
5023,600,2333
